12034,NDLS CNB SHA
12035,JP AF SHATAB
12036,AF JP SHATAB
12037,NDLS-LDH SHA
12038,LDH-NDLS SHA
12039,KGM-NDLS SHA
12040,NDLS-KGM SHA
12041,HWH - NJP SH
12042,NJP - HWH SH
12043,NDLS-MOGA SH
12044,MOGA-NDLS SH
12045,NDLS-CDG SHA
12046,CDG-NDLS SHA
12047,BHATINDA SHA
12048,NEW DELHI SH
12049,GATIMAN EXPR
12050,GATIMAN EXPR
12051,JAN SHATABDI
12052,MAO-DR JAN S
12053,HW-ASR EXP
12054,ASR-HW JAN S
12055,DDN JANSHATA
12056,NEWDELHI JAN
12057,NDLS-NLDM- J
12058,NDLS JANSHTB
12059,NZM JAN SHAT
12060,KOTA JANSHTB
12061,JBP JANSHATA
12062,HBJ JANSHATA
12065,NZM JAN SHAT
12066,AII JAN SHAT
12067,JANSATABDI E
12068,JANSATBDI EX
12069,RIG - G JANS
12070,G - RIG JANS
12071,JANSHATABDI
12072,JANSHATABDI
12073,HWH-BBS JAN
12074,BBS-HWH JAN
12075,CLT - T VC J
12076,TVC - CLT JA
12077,MAS-BZA JAN
12078,BZA-MAS-JAN
12079,JANSHATABDI
12080,JAN SHATABDI
12081,CAN - TVC JA
12082,TVC - CAN JA
12083,MV-CBE JANSH
12084,CBE-MV JAN S
12085,GHY-DBRG SHA
12086,DBRG-GHY SHA
12087,NHLN - GHY S
12088,GHY - NHLN S
12101,JNANESWARI D
12102,JNANESWARISU
12103,PUNE-LKO EXP
12104,LJN-PUNE EXP
12105,VIDARBHA EXP
12106,VIDARBHA EXP
12107,LTT-LJN EXPR
12108,LJN-LTT EXPR
12109,PANCHAVATI E
12110,PANCHAVTI EX
12111,CSMT-AMI SF
12112,AMI-CSMT SF
12113,PUNE-NGP GAR
12114,NGP-PUNE GAR
12115,CSTM-SUR SID
12116,SUR-CSMT SID
12117,LTT MANMAD E
12118,MANMAD LTT E
12119,AMRAVATI-NGP
12120,NGP-AMI EXPR
12121,M P SMPRK KR
